maybe, definitely_not, false_positive
26 , 60408 , 12
5 , 60059 , 0
3 , 59914 , 0
3 , 59914 , 0
3 , 59914 , 0
5 , 59912 , 2
5 , 59912 , 2
7 , 60068 , 1
8 , 60067 , 2
3 , 59910 , 0
3 , 60007 , 0
12 , 60232 , 0
20 , 60488 , 0
6 , 60077 , 0
3 , 60088 , 0
9 , 60436 , 1
6 , 60152 , 1
4 , 60154 , 1
6 , 60364 , 0
9 , 60242 , 1
9 , 60030 , 0
4 , 60024 , 0
18 , 60773 , 0
4 , 60024 , 1
19 , 60587 , 1
10 , 60280 , 2
10 , 60057 , 1
9 , 60274 , 0
6 , 60021 , 1
13 , 60290 , 0
4 , 60153 , 1
10 , 60327 , 0
18 , 60589 , 0
3 , 60151 , 0
9 , 60455 , 1
8 , 60286 , 0
4 , 60150 , 1
6 , 60021 , 1
3 , 59912 , 0
5 , 59976 , 0
106 , 61573 , 0
4 , 60209 , 1
3 , 60210 , 0
4 , 60209 , 1
4 , 60209 , 1
3 , 60210 , 0
3 , 60210 , 0
3 , 60210 , 0
3 , 60071 , 0
4 , 60070 , 1
10 , 60175 , 1
4 , 60070 , 1
3 , 60071 , 0
5 , 59979 , 0
9 , 60413 , 0
3 , 59910 , 0
3 , 60057 , 0
5 , 60071 , 0
35 , 61158 , 0
5 , 60402 , 0
6 , 60216 , 0
16 , 60230 , 0
2 , 60103 , 0
4 , 60150 , 1
2 , 59963 , 0
4 , 59872 , 1
3 , 59873 , 0
4 , 59852 , 1
3 , 59900 , 0
18 , 60017 , 0
9 , 59810 , 0
7 , 59910 , 0
3 , 59900 , 0
26 , 60150 , 0
7 , 59978 , 1
4 , 59882 , 1
9 , 59855 , 0
3 , 59942 , 0
61 , 61273 , 0
13 , 60022 , 2
7 , 60239 , 0
23 , 60303 , 4
6 , 60068 , 1
23 , 59961 , 1
31 , 60609 , 5
4 , 60051 , 2
10 , 59679 , 0
9 , 59750 , 0
24 , 59525 , 0
4 , 59998 , 0
7 , 59536 , 0
2 , 59860 , 0
15 , 59034 , 0
4 , 59659 , 0
4 , 59323 , 0
13 , 59500 , 0
22 , 60042 , 0
4 , 59524 , 0
2 , 59860 , 0
8 , 59933 , 0
22 , 59929 , 0
33 , 58784 , 0
6 , 59944 , 1
9 , 59818 , 0
4 , 60027 , 0
2 , 59835 , 0
2 , 60001 , 0
3 , 60000 , 1
2 , 59768 , 0
2 , 59768 , 0
3 , 59767 , 1
10 , 59450 , 0
6 , 59631 , 0
5 , 59195 , 1
2 , 59564 , 0
4 , 59516 , 0
11 , 58870 , 0
6 , 59157 , 0
2 , 59801 , 0
11 , 58824 , 0
7 , 59150 , 0
4 , 59516 , 0
216 , 59708 , 6
6 , 59651 , 0
2 , 59860 , 0
2 , 59721 , 0
5 , 59669 , 0
2 , 59721 , 0
2 , 59791 , 0
2 , 59721 , 0
5 , 59562 , 0
4 , 59441 , 0
4 , 59441 , 0
2 , 59793 , 0
4 , 59441 , 0
3 , 59554 , 0
4 , 59369 , 0
11 , 59036 , 0
14 , 59181 , 0
4 , 59281 , 0
4 , 59514 , 0
14 , 58981 , 0
12 , 58896 , 0
75 , 56826 , 6
11 , 59771 , 0
6 , 59517 , 0
13 , 59173 , 0
5 , 59791 , 0
15 , 59759 , 0
18 , 59454 , 0
4 , 59604 , 0
10 , 59861 , 1
11 , 59745 , 0
10 , 59798 , 0
4 , 59865 , 0
25 , 59377 , 0
12 , 59370 , 0
4 , 59831 , 0
9 , 59526 , 0
5 , 59751 , 0
23 , 59223 , 4
25 , 59417 , 0
4 , 59645 , 0
10 , 59734 , 0
3 , 59866 , 0
9 , 59684 , 5
17 , 58980 , 4
10 , 59513 , 0
5 , 59582 , 0
85 , 58050 , 0
24 , 59015 , 1
5 , 59634 , 0
5 , 59779 , 0
28 , 59466 , 0
10 , 59859 , 4
5 , 59733 , 0
3 , 59614 , 0
8 , 59594 , 0
25 , 59090 , 0
79 , 58365 , 1
8 , 59765 , 2
5 , 59798 , 1
12 , 59611 , 0
7 , 59580 , 2
25 , 59486 , 0
7 , 59728 , 0
19 , 59493 , 0
6 , 59618 , 0
2 , 59913 , 0
27 , 59335 , 4
19 , 59622 , 0
6 , 59687 , 0
3 , 59557 , 0
67 , 58076 , 0
9 , 59315 , 1
5 , 59596 , 0
37 , 58736 , 0
47 , 59385 , 0
15 , 59854 , 1
2 , 59718 , 0
4 , 59803 , 0
18 , 59347 , 1
4 , 59614 , 0
5 , 59622 , 1
8 , 59759 , 6
12 , 59163 , 5
36 , 58434 , 5
32 , 57738 , 3
7 , 59809 , 5
4 , 59917 , 0
14 , 59684 , 0
2 , 59899 , 0
9 , 59758 , 0
5 , 59368 , 0
6 , 59781 , 0
6 , 59761 , 0
3 , 59764 , 0
21 , 60047 , 0
12 , 59979 , 0
4 , 60191 , 0
4 , 59463 , 0
4 , 59413 , 0
9 , 59706 , 0
4 , 59449 , 0
16 , 59432 , 0
11 , 59440 , 0
7 , 59147 , 1
2 , 59615 , 0
14 , 59141 , 0
4 , 59564 , 0
14 , 58716 , 0
4 , 59574 , 0
8 , 59187 , 0
4 , 59451 , 0
4 , 59370 , 0
4 , 59543 , 0
18 , 58547 , 1
5 , 59472 , 1
6 , 59434 , 0
10 , 59072 , 0
4 , 59432 , 0
3 , 59543 , 1
22 , 59162 , 8
13 , 58916 , 5
6 , 59380 , 0
7 , 59498 , 0
22 , 58487 , 1
11 , 58935 , 0
4 , 59780 , 0
4 , 59780 , 0
6 , 59380 , 0
16 , 59230 , 0
4 , 59587 , 0
10 , 59014 , 0
10 , 59014 , 0
10 , 59014 , 0
10 , 59014 , 0
12 , 58912 , 0
10 , 59014 , 0
10 , 59014 , 0
8 , 59508 , 0
4 , 59657 , 0
4 , 59657 , 0
5 , 59656 , 0
4 , 59657 , 0
8 , 59508 , 0
12 , 59047 , 0
14 , 59000 , 0
12 , 59274 , 0
2 , 59753 , 0
15 , 59078 , 0
11 , 59305 , 1
10 , 59306 , 0
4 , 59471 , 0
2 , 59777 , 0
8 , 59449 , 0
6 , 59446 , 0
9 , 59227 , 0
9 , 59227 , 0
9 , 59227 , 0
6 , 59659 , 2
8 , 59360 , 0
9 , 59227 , 0
9 , 59227 , 0
4 , 59661 , 0
4 , 59508 , 0
